"Code_ISO","Model","Param","RMSE.calib","MAE.calib","Qtest.calib","Coef","pv_model_p","pv_strig","rho.spearman","rho.pvalue","cli.par","cli.lag"
"COM","ARIMAX/pr_0","(4,1,2)",0.00224721638862988,0.000851906385045304,5.55111512312578e-16,-0.00268295247205171,0.0457670437138058,"-",-0.102974997270549,0.00217315666587066,"pr",0
"COM","ARIMAX/tdew_13","(4,1,2)",0.00226207220397945,0.000877337284086267,1.11022302462516e-15,0.00214084780225164,0.0271691617841227,"-",-0.0688681622875724,0.0421556673678378,"tdew",13
"COM","ARIMAX/wspd_13","(4,1,2)",0.0022628223665651,0.000874539194558467,6.66133814775094e-16,0.00120908192018752,0.0364698922671717,"-",-0.0897163393469527,0.00806553575202976,"wspd",13
"DZA","ARIMAX/tdew_1","(3,2,3)",0.000211449193532326,0.000107862087766405,4.88785945051973e-09,9.72989884960973e-05,0.0486232685870667,"0.943824464689618",-0.0873843780304229,0.00709967853636506,"tdew",1
"EGY","ARIMAX/tmin_3","(5,1,2)",0.000680871501939452,0.000237312100771608,0,0.000820930010467399,0.00382540763967911,"0.784703622797283",0.0755600035882343,0.0193992944840486,"tmin",3
"EGY","ARIMAX/wspd_8","(5,1,2)",0.000684061478349226,0.000235335884816046,0,0.000274619224658019,0.0407388911547697,"0.72019118898075",0.0784137008725704,0.0155220617981824,"wspd",8
"ERI","ARIMAX/insol_28","(2,1,2)",0.00194278469942555,0.00090084586504839,0,-0.000860970495593755,0.0449632245422244,"-",-0.0684866928046362,0.0404059246334505,"insol",28
"ERI","ARIMAX/tmin_15","(2,1,2)",0.00192435225277956,0.000907850924026023,0,0.00268958488564032,0.00373974886279991,"-",0.0706983119772357,0.0330675629664299,"tmin",15
"ETH","ARIMAX/tmoy_3","(1,1,2)",0.0004948124027015,0.000243434498044761,0,-0.000309840543579588,0.0296570211056618,"0.984025087381281",-0.088652857024716,0.00685552394072685,"tmoy",3
"GAB","ARIMAX/ah_16","(2,1,3)",0.00234966937107686,0.00109367100987057,0,0.00198279862762407,0.0282883954911796,"0.668053802701376",0.115547316749804,0.000461527542025259,"ah",16
"GAB","ARIMAX/tdew_16","(2,1,3)",0.00234900060924777,0.00109321707894751,0,0.00202299450433867,0.0207875931317926,"0.69302977225257",0.122050967497835,0.000214995046118909,"tdew",16
"GHA","ARIMAX/insol_24","(1,1,4)",0.00150925267941932,0.000909996351419955,0.00439961264505728,-0.000616536610688292,0.0352245442986241,"0.953545570080855",-0.067978783764376,0.040675389340252,"insol",24
"GHA","ARIMAX/tmax_0","(1,1,4)",0.00149498979203415,0.000861665642206796,0.00278400591014749,-0.000933468142691122,0.0302180047211039,"0.913899596311743",0.0955777235401737,0.00351085896598713,"tmax",0
"GIN","ARIMAX/ah_0","(2,1,1)",0.00133294589658722,0.000769654197557213,0.0378363626186523,-0.00157872508763585,0.00388874771094067,"0.352818542930095",-0.0830795385598532,0.0111713762025245,"ah",0
"GIN","ARIMAX/tdew_0","(2,1,1)",0.00133440031136205,0.000766460258098604,0.0331148185613266,-0.00144189423994866,0.0121105137805616,"0.365942779000678",-0.0825711900943257,0.0116784854317151,"tdew",0
"GMB","ARIMAX/pr_0","(1,1,4)",0.00335586192976285,0.00127438941218965,1.25011824225751e-08,-0.00344182520876109,0.00318292434627677,"0.566818637316962",0.0850993870557696,0.00949762353909906,"pr",0
"GNB","ARIMAX/insol_12","(1,1,2)",0.00235433652449986,0.00110405613719539,2.42150743900993e-12,0.00092356648190286,0.0412981806957494,"-",-0.125259098633589,0.000154234229974375,"insol",12
"GNB","ARIMAX/rh_6","(1,1,2)",0.00234651533627918,0.00109575116093211,8.12683254025615e-13,0.00233047977219306,0.0373783546203345,"-",0.0869460078670706,0.00853913884462059,"rh",6
"GNB","ARIMAX/tmax_3","(1,1,2)",0.0023430243273564,0.00109517935558969,4.28845847721959e-12,0.00187949183937959,0.0420590371210328,"-",-0.127634462715821,0.000106354856124063,"tmax",3
"GNB","ARIMAX/tmin_5","(1,1,2)",0.0023438491850895,0.00111214929180219,1.11688436277291e-12,0.00233778799821717,0.0202671696141684,"-",-0.0701490520755149,0.0338671564315923,"tmin",5
"GNB","ARIMAX/tmoy_0","(1,1,2)",0.00233219200910714,0.00111063180446596,5.4678483962789e-13,-0.00398912149849663,0.00178240767109637,"-",-0.113938342349464,0.000535174094253688,"tmoy",0
"KEN","ARIMAX/wspd_10","(4,1,2)",0.000568292354519054,0.000308422674345078,0,0.000547750957605274,0.0366598719244078,"0.00827202382121702",0.122462829881691,0.000193380343832216,"wspd",10
"LBR","ARIMAX/ah_12","(2,1,2)",0.00377885872998631,0.00145019906976385,7.82222620010486e-10,0.00526465874826761,0.00617021601281297,"0.382681808195666",-0.10521188358844,0.00142866956342723,"ah",12
"LBR","ARIMAX/insol_23","(4,1,2)",0.0038047150076376,0.00139537344129214,8.34161406615408e-10,-0.002144907528565,0.00523770013458896,"0.363551667228571",0.0941343582731775,0.00459339347075313,"insol",23
"LBR","ARIMAX/tdew_12","(4,1,2)",0.00377892067934256,0.00138612374853557,1.28178712088811e-09,0.00649871069457054,0.00113811669341966,"0.4696271074114",-0.101523442915104,0.00209507354345674,"tdew",12
"LBR","ARIMAX/tmin_3","(2,1,2)",0.00377708881949816,0.00134847759833025,5.46236389453725e-11,0.00319310268361548,0.0282934352376004,"0.507878142522287",-0.125824534653716,0.000124603480179155,"tmin",3
"LBR","ARIMAX/wspd_8","(2,1,2)",0.00378684116726875,0.00135941157062874,2.59786747669466e-10,0.00211283752400336,0.0283990254227801,"0.423140604977278",0.0959535579432712,0.00357765036117152,"wspd",8
"LBY","ARIMAX/ah_9","(5,1,3)",0.000717582106505593,0.000403421989850318,0,-0.000314889188786346,0.023888638696465,"0.501801897514126",-0.0654584313911524,0.0481310090085857,"ah",9
"LSO","ARIMAX/ah_12","(0,1,0)",0.00758365302347121,0.00189230475314199,0.702418359043387,0.00606100694878641,0.0254980283185184,"0.311271213794992",0.102624269074796,0.00260081782465807,"ah",12
"LSO","ARIMAX/insol_15","(0,1,0)",0.00760155483373898,0.00188928933085673,0.71200692900359,-0.0029788352311647,0.0496145598128536,"0.308574751047072",-0.124514834996313,0.00026032019475408,"insol",15
"LSO","ARIMAX/tdew_12","(0,1,0)",0.00758626260357206,0.00187788545097449,0.70000465937346,0.00546419271392964,0.0360195170454427,"0.304561644908519",0.107373383557642,0.0016243022506518,"tdew",12
"LSO","ARIMAX/tmax_2","(0,1,0)",0.00754423608981222,0.00187474479802677,0.637865040222043,-0.00730319910716757,0.0385718250953676,"0.348928193540042",-0.0766221432801988,0.0238958630250291,"tmax",2
"MAR","ARIMAX/rh_8","(4,1,5)",0.000463589522729021,0.000242896720355033,0,0.000202796998909504,0.0393580525926125,"0.208242445983924",-0.112635306649019,0.000559518387445214,"rh",8
"MDG","ARIMAX/insol_23","(3,1,5)",0.00256240995218267,0.00106058648268397,0,0.0012188955457796,0.0444557339410535,"0.769591967268791",-0.0666684144641311,0.0453143922411239,"insol",23
"MDG","ARIMAX/tmax_10","(3,1,5)",0.00254391176084302,0.00106651596983489,0,-0.00172799242493449,0.0373383898209635,"0.67830331388018",-0.105229964758294,0.00143458682274508,"tmax",10
"MDG","ARIMAX/tmoy_12","(3,1,5)",0.00254315627157641,0.00107597578871821,0,-0.00305375837934726,0.0086747245318544,"0.649696578812776",-0.0875763575273205,0.00810507912160757,"tmoy",12
"MDG","ARIMAX/wspd_7","(3,1,5)",0.00253715344805116,0.00107675515558018,0,0.0013049356970809,0.0122187118139645,"0.678865098494229",0.0995144862170449,0.0025400544074449,"wspd",7
"MLI","ARIMAX/rh_24","(3,1,0)",0.00145097233713888,0.000522834062486678,3.91071841576718e-09,-0.000839095281335696,0.0419243826274266,"0.591340550717",-0.126838014206763,0.000140799479551348,"rh",24
"MLI","ARIMAX/tmin_15","(3,1,0)",0.00144415580378642,0.000524546073991014,4.83931239525504e-09,0.00149313398510405,0.0242092590799164,"0.567128335995253",0.0843115912780949,0.0111686453407974,"tmin",15
"MOZ","ARIMAX/pr_28","(1,1,0)",0.00110890125561799,0.000449722488406893,0,-0.000785140134539299,0.0432572878503033,"0.504397676693019",0.0734640269777771,0.0279712804779903,"pr",28
"MOZ","ARIMAX/tdew_0","(1,1,0)",0.00109193485938385,0.000442197015300646,0,0.000645525593877621,0.0313454600522666,"0.412996281743517",-0.0876873191780564,0.00768632298603894,"tdew",0
"MOZ","ARIMAX/tmax_13","(1,1,0)",0.00109637629683265,0.000456339805398143,0,-0.000886810124179305,0.00169896320367272,"0.681867359933225",0.120437088792569,0.000271160960718393,"tmax",13
"MOZ","ARIMAX/tmoy_1","(1,1,0)",0.0010925355297129,0.000444267285848549,0,0.000914321771258492,0.0314585062136836,"0.529934433534176",0.0835201328387593,0.0111795284758385,"tmoy",1
"MRT","ARIMAX/rh_19","(1,1,0)",0.00059439034552295,0.000292259440163438,0,-0.000304750198041155,0.0360740524367905,"0.538304981782069",-0.0992559635887153,0.00269301309781513,"rh",19
"MWI","ARIMAX/insol_20","(1,1,0)",0.000930317936674763,0.000445286031622563,0,0.000544024262202423,0.000202525966645737,"0.849468038670154",-0.128907888046616,0.000113048539161082,"insol",20
