"Code_ISO","Model","Param","RMSE.calib","MAE.calib","Qtest.calib","Coef","pv_model_p","pv_strig","rho.spearman","rho.pvalue"
"BEN","ARIMAX/pr_23","(2,1,2)","0.00560404889403883","0.00197437938549788","0","0.00783514454107002","0.000520922950720605","0.0508774012854697","-0.0825329579348925","0.012953711972618"
"BEN","ARIMAX/pr_27","(2,1,2)","0.00563589230276452","0.00187314301389072","0","0.00642667006026228","0.00489007112819016","0.0725683703418048","-0.0906052489563166","0.00646910811922382"
"BEN","ARIMAX/rh_2","(2,1,1)","0.00577321044425392","0.00178076840068964","0","0.0058014287347974","0.032710165668784","0.0354571713095794","-0.109901006883727","0.000802987225908101"
"BEN","ARIMAX/insol_17","(2,1,2)","0.00560564079838827","0.00193751595668526","0","0.00259314676382055","0.0186058312052852","0.0492063630423728","-0.113863574335994","0.000570851410944992"
"BEN","ARIMAX/insol_23","(5,1,1)","0.00552591651525598","0.00185178250051359","0","-0.00270000018250941","0.0105516978724422","0.0566911878059801","-0.102507805865389","0.00200595240609807"
"BEN","ARIMAX/insol_26","(2,1,2)","0.00563248422409229","0.00197348657721937","0","0.00272313891262243","0.016446775204256","0.0559633832875693","-0.0967222732152401","0.00362241528556672"
"BWA","ARIMA","(3,1,3)","0.00492700142183055","0.00144515465418131","9.24068821461788e-10",NA,NA,NA,NA,NA
"BFA","ARIMA","(4,1,1)","0.00256926741989732","0.000854685977041491","0",NA,NA,NA,NA,NA
"BDI","ARIMA","(3,1,3)","0.00434926005140652","0.00125704130852967","1.82731940689962e-09",NA,NA,NA,NA,NA
"BDI","ARIMAX/pr_3","(1,1,2)","0.00431585976578236","0.00141452142245605","0","-0.00613335292397058","0.0182657409055844","3.5351486077879e-14","0.073024579611352","0.0275242383119711"
"BDI","ARIMAX/pr_5","(1,1,1)","0.00431215201570133","0.00147191981388476","0","-0.0104895599951095","4.83102485599045e-05","5.82243888637271e-14","0.0727174042169735","0.0283586674646945"
"BDI","ARIMAX/pr_6","(1,1,1)","0.00429330307396566","0.00150315915122302","1.55431223447522e-15","0.0129659769433816","4.38105052119547e-07","4.04146433729976e-14","0.0722319819371632","0.0295243002817769"
"BDI","ARIMAX/tmin_18","(1,1,2)","0.00435573907936256","0.00145141161085621","0","-0.00239442194697607","0.0485877905122114","7.41928507465311e-14","-0.0665311475417161","0.0464896625938293"
"BDI","ARIMAX/tmin_20","(1,1,1)","0.00437751855295327","0.00147431312651584","1.11022302462516e-16","0.00238270692784115","0.0469895644863116","9.80835761231197e-15","-0.066183264921531","0.047898346867257"
"CPV","ARIMA","(2,1,2)","0.00122751016090038","0.000486051367639543","0",NA,NA,NA,NA,NA
"CMR","ARIMA","(3,1,3)","0.00501728104194573","0.00191524383429327","0",NA,NA,NA,NA,NA
"CMR","ARIMAX/wspd_2","(2,1,2)","0.00500266028949886","0.00194158707930626","0","0.00288584622475723","0.00349296219772921","0.848061547437276","0.112567520742782","0.000556198192185557"
"CMR","ARIMAX/wspd_14","(2,1,2)","0.00504293193724878","0.00195425173046277","0","-0.00221159611754419","0.0282014641298996","0.913371489130542","0.109095542326711","0.000889116700059682"
"CMR","ARIMAX/tdew_2","(3,1,3)","0.00501052859778919","0.00193468398626185","0","-0.00602323611338562","0.0376628046226748","0.957362699635694","-0.121805668568902","0.000185877910816856"
"CAF","ARIMA","(0,1,0)","0.00928093162848886","0.00178653301028077","0.999999995003803",NA,NA,NA,NA,NA
"CAF","ARIMAX/pr_18","(0,1,0)","0.00934065381075549","0.00188499751101308","0.999999996947001","-0.00692269028920643","0.0174880510747122","0.569585787570709","-0.0956822673709107","0.00382534653773789"
"TCD","ARIMA","(1,1,1)","0.00417439304940503","0.00101590502942018","7.54951656745106e-15",NA,NA,NA,NA,NA
"COM","ARIMA","(4,1,2)","0.00225229253237918","0.000838627998972336","4.44089209850063e-16",NA,NA,NA,NA,NA
"COM","ARIMAX/pr_0","(4,1,2)","0.00224721638862988","0.000851906385045304","5.55111512312578e-16","-0.00268295247205171","0.0457670437138058","-","-0.102974997270549","0.00217315666587066"
"COM","ARIMAX/pr_10","(1,1,4)","0.00223808512844644","0.000879058984981875","4.92517138184212e-12","-0.00420821866447311","0.00149016036028914","-","-0.100415208582638","0.00295972708689117"
"COM","ARIMAX/wspd_13","(4,1,2)","0.0022628223665651","0.000874539194558467","6.66133814775094e-16","0.00120908192018752","0.0364698922671717","-","-0.0897163393469527","0.00806553575202976"
"COM","ARIMAX/tdew_13","(4,1,2)","0.00226207220397945","0.000877337284086267","1.11022302462516e-15","0.00214084780225164","0.0271691617841227","-","-0.0688681622875724","0.0421556673678378"
"COM","ARIMAX/ah_13","(4,1,2)","0.00226154776235991","0.000880180314829399","1.22124532708767e-15","0.00211107269837631","0.0231670874334496","-","-0.0797843397565452","0.0185214278057511"
"COM","ARIMAX/ah_14","(4,1,2)","0.00226384025727619","0.000877765989164691","2.66453525910038e-15","-0.00194983298608386","0.0314843514058025","-","-0.0766062095059763","0.0238441561750683"
